Year,Month,Day,0,1,2,3,4,5
2023,01,01,0,10,20,30,40,50
2023,01,02,0,0,90,0,0,0
2023,01,03,0,0,0,0,0,0
2023,01,04,0,0,87878,0,0,0
2023,01,05,0,0,0,0,0,0
2023,01,06,0,0,0,0,0,0
2023,01,07,0,0,0,0,0,0
2023,01,08,0,0,0,0,0,0
2023,01,09,0,0,0,0,0,0
2023,01,10,0,0,0,0,0,0
2023,01,11,0,0,0,0,0,0
2023,01,12,0,0,0,0,0,0
2023,01,13,0,0,0,0,0,0
2023,01,14,0,0,0,0,0,0
2023,01,15,0,0,0,0,0,0
2023,01,16,0,0,0,0,0,0
2023,01,17,0,0,0,0,0,0
2023,01,18,0,0,0,0,0,0
2023,01,19,0,0,0,0,0,0
2023,01,20,0,0,0,0,0,0
2023,01,21,0,0,0,0,0,0
2023,01,22,0,0,0,0,0,0
2023,01,23,0,0,0,0,0,0
2023,01,24,0,0,0,0,0,0
2023,01,25,0,0,0,0,0,0
2023,01,26,0,0,0,0,0,0
2023,01,27,0,0,0,0,0,0
2023,01,28,0,0,0,0,0,0
2023,01,29,0,0,0,0,0,0
2023,01,30,0,0,0,0,0,0
2023,02,01,0,10,20,30,40,50
2023,02,02,0,100,200,300,400,500
2023,02,03,0,10,20,30,40,50
2023,02,04,0,100,200,300,400,500
2023,02,05,0,10,20,30,40,50
2023,02,06,0,100,20,300,400,500
2023,02,07,0,10,20,30,40,50
2023,02,08,0,100,200,300,400,500
2023,02,09,0,10,20,30,40,50
2023,02,10,0,100,200,300,400,500
2023,02,11,0,10,20,30,40,50
2023,02,12,0,100,200,300,400,500
2023,02,13,0,10,20,30,40,50
2023,02,14,0,100,200,300,400,500
2023,02,15,0,10,20,30,40,50
2023,02,16,0,100,200,300,400,500
2023,02,17,0,10,20,30,40,50
2023,02,18,0,100,200,300,400,500
2023,02,19,0,10,20,30,40,50
2023,02,20,0,100,200,300,400,500
2023,02,21,0,10,20,30,40,50
2023,02,22,0,100,200,300,400,500
2023,02,23,0,10,20,30,40,50
2023,02,24,0,100,200,300,400,500
2023,02,25,0,10,20,30,40,50
2023,02,26,0,100,200,300,400,500
2023,02,27,0,10,20,30,40,50
2023,02,28,0,100,200,300,400,500
2023,02,29,0,10,20,30,40,50
2023,02,30,0,100,200,300,400,500
